Model,Model,Model,Model,Max Score
NuSVC,transNuSVC,scaledNuSVC,scaledAndTransNuSVC,0.8743
DT,transDT,scaledDT,scaledAndTransDT,0.854
XGBRFC,transXGBRFC,scaledXGBRFC,scaledAndTransXGBRFC,0.8429
GB,transGB,scaledGB,scaledAndTransGB,0.8425
SVC,transSVC,scaledSVC,scaledAndTransSVC,0.8362
RF,transRF,scaledRF,scaledAndTransRF,0.8362
ET,transET,scaledET,scaledAndTransET,0.8362
XGB,transXGB,scaledXGB,scaledAndTransXGB,0.8206
BAG,transBAG,scaledBAG,scaledAndTransBAG,0.8048
ADA,transADA,scaledADA,scaledAndTransADA,0.7881
GNB,transGNB,scaledGNB,scaledAndTransGNB,0.7862
LR,transLR,scaledLR,scaledAndTransLR,0.779
LSVC,transLSVC,scaledLSVC,scaledAndTransLSVC,0.7429
MLP,transMLP,scaledMLP,scaledAndTransMLP,0.7381
SGD,transSGD,scaledSGD,scaledAndTransSGD,0.7
LRCV,transLRCV,scaledLRCV,scaledAndTransLRCV,0.6762
KNN,transKNN,scaledKNN,scaledAndTransKNN,0.6181
QDA,transQDA,scaledQDA,scaledAndTransQDA,0.6063
GPC,transGPC,scaledGPC,scaledAndTransGPC,0.4
DC,transDC,scaledDC,scaledAndTransDC,0.24
